DATE,RATE
2017-9-7,1.08863
2017-9-8,1.09717
2017-9-11,1.10105
2017-9-12,1.10963
2017-9-13,1.11094
2017-9-14,1.12721
2017-9-15,1.13538
2017-9-18,1.12959
2017-9-19,1.1283
2017-9-20,1.13052
2017-9-21,1.13645
2017-9-22,1.1305
2017-9-25,1.13542
2017-9-26,1.14016
2017-9-27,1.1408
2017-9-28,1.14088
2017-9-29,1.13451
2017-10-2,1.12967
2017-10-3,1.12688
2017-10-4,1.12823
2017-10-5,1.12182
2017-10-6,1.11345
2017-10-9,0
2017-10-10,1.11954
2017-10-11,1.11505
2017-10-12,1.11267
2017-10-13,1.12393
2017-10-16,1.12489
2017-10-17,1.12149
2017-10-18,1.11958
2017-10-19,1.11307
2017-10-20,1.11971
2017-10-23,1.12234
2017-10-24,1.11542
2017-10-25,1.12286
2017-10-26,1.12658
2017-10-27,1.13195
2017-10-30,1.13496
2017-10-31,1.1402
2017-11-1,1.14107
2017-11-2,1.1196
2017-11-3,1.12491
2017-11-6,1.13319
2017-11-7,1.13605
2017-11-8,1.13088
2017-11-9,1.12749
2017-11-10,0
2017-11-13,1.12397
2017-11-14,1.11595
2017-11-15,1.11625
2017-11-16,1.12105
2017-11-17,1.1206
2017-11-20,1.12776
2017-11-21,1.12699
2017-11-22,1.12741
2017-11-23,0
2017-11-24,1.11729
2017-11-27,1.11939
2017-11-28,1.11391
2017-11-29,1.13307
2017-11-30,1.13515
2017-12-1,1.13392
2017-12-4,1.13648
2017-12-5,1.1379
2017-12-6,1.13522
2017-12-7,1.13927
2017-12-8,1.13655
2017-12-11,1.13227
2017-12-12,1.13629
2017-12-13,1.13629
2017-12-14,1.14111
2017-12-15,1.13058
2017-12-18,1.13504
2017-12-19,1.12976
2017-12-20,1.12852
2017-12-21,1.12635
2017-12-22,1.13008
2017-12-25,0
2017-12-26,1.12657
2017-12-27,1.12611
2017-12-28,1.12533
2017-12-29,1.12535
2018-1-1,0
2018-1-2,1.1283
2018-1-3,1.12402
2018-1-4,1.12226
2018-1-5,1.12651
2018-1-8,1.13305
2018-1-9,1.13387
2018-1-10,1.13004
2018-1-11,1.1253
2018-1-12,1.12852
2018-1-15,0
2018-1-16,1.12496
2018-1-17,1.13043
2018-1-18,1.13491
2018-1-19,1.13229
2018-1-22,1.14015
2018-1-23,1.13774
2018-1-24,1.14592
2018-1-25,1.14222
2018-1-26,1.14144
2018-1-29,1.13682
2018-1-30,1.13995
2018-1-31,1.14178
2018-2-1,1.1414
2018-2-2,1.13498
2018-2-5,1.12917
2018-2-6,1.12681
2018-2-7,1.13028
2018-2-8,1.13703
2018-2-9,1.12825
2018-2-12,1.1266
2018-2-13,1.12368
2018-2-14,1.12577
2018-2-15,1.1265
2018-2-16,1.12964
2018-2-19,0
2018-2-20,1.13549
2018-2-21,1.13253
2018-2-22,1.13086
2018-2-23,1.13669
2018-2-26,1.13468
2018-2-27,1.1362
2018-2-28,1.12964
2018-3-1,1.12598
2018-3-2,1.11816
2018-3-5,1.12376
2018-3-6,1.11849
2018-3-7,1.12027
2018-3-8,1.12262
2018-3-9,1.1247
2018-3-12,1.12827
2018-3-13,1.12817
2018-3-14,1.12813
2018-3-15,1.13229
2018-3-16,1.13347
2018-3-19,1.13813
2018-3-20,1.14196
2018-3-21,1.1464
2018-3-22,1.14525
2018-3-23,1.1449
2018-3-26,1.14437
2018-3-27,1.1411
2018-3-28,1.14242
2018-3-29,1.14085
2018-3-30,1.13856
2018-4-2,1.14193
2018-4-3,1.14738
2018-4-4,1.14514
2018-4-5,1.14399
2018-4-6,1.14779
2018-4-9,1.1474
2018-4-10,1.14775
2018-4-11,1.14616
2018-4-12,1.15617
2018-4-13,1.15687
2018-4-16,1.15833
2018-4-17,1.15844
2018-4-18,1.14919
2018-4-19,1.15054
2018-4-20,1.14257
2018-4-23,1.14219
2018-4-24,1.14306
2018-4-25,1.14477
2018-4-26,1.14976
2018-4-27,1.1385
2018-4-30,1.13889
2018-5-1,1.13425
2018-5-2,1.1372
2018-5-3,1.13358
2018-5-4,1.13302
2018-5-7,1.1375
2018-5-8,1.13976
2018-5-9,1.1447
2018-5-10,1.13374
2018-5-11,1.13371
2018-5-14,1.13519
2018-5-15,1.13891
2018-5-16,1.14337
2018-5-17,1.14486
2018-5-18,1.14446
2018-5-21,1.14021
2018-5-22,1.14105
2018-5-23,1.14094
2018-5-24,1.1411
2018-5-25,1.14187
2018-5-28,0
2018-5-29,1.14778
2018-5-30,1.13992
2018-5-31,1.13873
2018-6-1,1.14376
2018-6-4,1.13834
2018-6-5,1.14462
2018-6-6,1.14018
2018-6-7,1.13644
2018-6-8,1.13871
2018-6-11,1.13421
2018-6-12,1.13772
2018-6-13,1.13527
2018-6-14,1.14604
2018-6-15,1.14351
2018-6-18,1.14139
2018-6-19,1.13777
2018-6-20,1.13984
2018-6-21,1.14233
2018-6-22,1.13998
2018-6-25,1.13503
2018-6-26,1.1343
2018-6-27,1.13385
2018-6-28,1.13063
2018-6-29,1.13017
2018-7-2,1.13176
2018-7-3,1.13052
2018-7-4,0
2018-7-5,1.13089
2018-7-6,1.12983
2018-7-9,1.12415
2018-7-10,1.13114
2018-7-11,1.12959
2018-7-12,1.13223
2018-7-13,1.13277
2018-7-16,1.13032
2018-7-17,1.12834
2018-7-18,1.12065
2018-7-19,1.11918
2018-7-20,1.12009
2018-7-23,1.11989
2018-7-24,1.12419
2018-7-25,1.12615
2018-7-26,1.12571
2018-7-27,1.12504
2018-7-30,1.12135
2018-7-31,1.12122
2018-8-1,1.12464
2018-8-2,1.12255
2018-8-3,1.12279
2018-8-6,1.1196
2018-8-7,1.11727
2018-8-8,1.11054
2018-8-9,1.11274
2018-8-10,1.12019
2018-8-13,1.11943
2018-8-14,1.12219
2018-8-15,1.1194
2018-8-16,1.11714
2018-8-17,1.11613
2018-8-20,1.11602
2018-8-21,1.11496
2018-8-22,1.11341
2018-8-23,1.10919
2018-8-24,1.10606
2018-8-27,1.10406
2018-8-28,1.09949
2018-8-29,1.11172
2018-8-30,1.11601
2018-8-31,1.11797
2018-9-3,0
2018-9-4,1.10955
2018-9-5,1.11041
2018-9-6,1.11261
2018-9-7,1.1177
2018-9-10,1.12254
2018-9-11,1.12285
2018-9-12,1.12068
2018-9-13,1.12269
2018-9-14,1.12251
2018-9-17,1.12484
2018-9-18,1.12529
2018-9-19,1.1264
2018-9-20,1.12713
2018-9-21,1.11313
2018-9-24,1.11509
2018-9-25,1.11827
2018-9-26,1.12111
2018-9-27,1.12288
2018-9-28,1.12313
2018-10-1,1.12665
2018-10-2,1.12318
2018-10-3,1.12738
2018-10-4,1.13087
2018-10-5,1.13902
2018-10-8,0
2018-10-9,1.14431
2018-10-10,1.14427
2018-10-11,1.14077
2018-10-12,1.13799
2018-10-15,1.13576
2018-10-16,1.13948
2018-10-17,1.13839
2018-10-18,1.13633
2018-10-19,1.13307
2018-10-22,1.13142
2018-10-23,1.13084
2018-10-24,1.1325
2018-10-25,1.12775
2018-10-26,1.12627
2018-10-29,1.12441
2018-10-30,1.12029
2018-10-31,1.12769
2018-11-1,1.13847
2018-11-2,1.13948
2018-11-5,1.14271
2018-11-6,1.14581
2018-11-7,1.14705
2018-11-8,1.14891
2018-11-9,1.14596
2018-11-12,0
2018-11-13,1.15441
2018-11-14,1.15019
2018-11-15,1.12584
2018-11-16,1.12603
2018-11-19,1.12177
2018-11-20,1.12448
2018-11-21,1.12139
2018-11-22,0
2018-11-23,1.1299
2018-11-26,1.12994
2018-11-27,1.12836
2018-11-28,1.13114
2018-11-29,1.12362
2018-11-30,1.12797
2018-12-3,1.12205
2018-12-4,1.12111
2018-12-5,0
2018-12-6,1.12335
2018-12-7,1.11932
2018-12-10,1.10468
